portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
33770,Belfast,33630,NORTHERN IRELAND,GB,United Kingdom,"54°37'00""N","5°54'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36011,I,L,RB,E,N,N,N,Y,U,9,9,11,11,2,305,52,11,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,U,Y,U,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,U,Y,Y,Y,Y,U,U,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,A,L,S,Y,U,UNK,U,Y,Y,U,U,Y,U,{93AAD8E0-643A-43AC-9974-CB8F4C482C09},Y,Y,Y,Y,Y,N,Y,U,Y,U,U,U,GB BEL,"a2033770, coa20i, gen20b, h2033770",,,,North Atlantic Ocean,,,,,,,
31860,Berwick-Upon-Tweed,31330,ENGLAND EAST COAST,GB,United Kingdom,"55°46'00""N","1°60'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,"35010, 35014",I,V,RT,G,Y,N,N,Y,Y,2,13,5,,4,,,,Y,U,Y,N,Y,,,Y,U,U,U,Y,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,N,U,Y,U,U,U,U,Y,Y,Y,U,Y,Y,U,Y,Y,Y,Y,Y,B,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{AAB73C16-86B4-4B80-BDB5-2B6A01E0B4A5},U,U,U,U,U,U,U,U,U,U,U,U,GB BWK,"coa20e, gen20b",,,,North Sea; North Atlantic Ocean,,,,,,,
35150,Bideford,35030,ENGLAND SW COAST,GB,United Kingdom,"51°02'00""N","4°12'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,,I,S,RN,G,Y,Y,N,Y,Y,2,13,5,3,5,,,,U,U,Y,N,Y,,,Y,N,Y,U,Y,Y,U,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,Y,Y,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{CC8CF528-8743-491D-A2D2-5735CF7D5D32},U,U,U,U,U,U,U,U,U,U,U,U,GB BID,"a2035070, coa20j, gen20b",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
31895,Bird Port,31870,SCOTLAND EAST COAST,GB,United Kingdom,"51°34'00""N","2°58'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36042,I,V,RN,P,Y,U,U,Y,Y,2,5,9,,6,,,,U,U,U,U,U,,,Y,U,U,U,U,U,U,Y,U,U,U,Y,U,U,U,U,Y,Y,U,U,U,Y,U,U,U,U,Y,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{6A3D5403-6CA6-4F53-89BF-4588487C8588},U,U,U,U,U,U,U,U,U,U,U,U,,"gen20b, h2035015",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
31820,Blyth,31330,ENGLAND EAST COAST,GB,United Kingdom,"55°07'00""N","1°30'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,"35006, 35010",I,M,RN,G,Y,N,N,Y,U,8,17,6,,3,,,,U,U,Y,N,N,,,Y,U,Y,U,Y,Y,U,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,Y,U,Y,Y,U,U,U,U,Y,Y,Y,Y,Y,Y,B,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{C202E22A-3FB4-413D-A1C1-C5793AF8AFE6},U,U,U,U,U,U,U,U,U,U,U,U,GB BLY,"a2031765, coa20e, gen20b",,,,North Sea; North Atlantic Ocean,,,,,,,
31630,Boston,31330,ENGLAND EAST COAST,GB,United Kingdom,"52°58'00""N","0°01'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,37059,I,S,RT,P,Y,N,N,Y,Y,5,8,5,,5,,,,Y,U,Y,N,Y,,,Y,U,Y,U,Y,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,Y,Y,Y,Y,U,U,U,U,Y,Y,Y,Y,U,U,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{6DA8D31A-F851-46EB-B91D-36C6A3549978},U,U,U,U,U,U,U,U,U,U,U,U,GB BOS,"coa20d, gen20b",,,,North Sea; North Atlantic Ocean,,,,,,,
33450,Bowling,32790,SCOTLAND WEST COAST,GB,United Kingdom,"55°56'00""N","4°29'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,36019,I,V,RN,G,N,N,N,Y,U,6,,,8,3,,,,U,U,Y,N,Y,,,U,U,Y,U,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,Y,Y,Y,U,Y,U,U,Y,U,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{7D3D2BB9-4DFD-4ACC-830A-086B5B10E4FD},U,U,U,U,U,U,U,U,U,U,U,U,GB BOW,"gen20b, h2033490",,,,North Atlantic Ocean,,,,,,,
31945,Braefoot Bay Terminal,31870,SCOTLAND EAST COAST,GB,United Kingdom,"56°02'00""N","3°19'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,35048,I,S,OR,F,U,U,U,Y,U,9,,,11,4,,,,U,U,U,U,Y,,,U,U,Y,U,U,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,N,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{146954A6-E598-4CF3-A140-8AA67AB59CE0},U,U,U,U,U,U,U,U,U,U,U,U,GB BFB,"gen20b, h2031980",,,,North Sea; North Atlantic Ocean,,,,,,,
35100,Bridgwater,35030,ENGLAND SW COAST,GB,United Kingdom,"51°08'00""N","2°60'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,35127,I,V,RN,G,Y,N,N,Y,Y,2,6,9,,9,,,,Y,U,Y,N,Y,,,Y,N,N,U,Y,U,U,Y,U,U,Y,Y,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,U,Y,U,Y,U,Y,Y,U,Y,Y,Y,U,U,B,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{1B77DC93-D306-4447-8FF7-E19A64361CD8},U,U,U,U,U,U,U,U,U,U,U,U,GB BRW,"a2035070, coa20j, gen20b",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
31680,Bridlington,31330,ENGLAND EAST COAST,GB,United Kingdom,"54°05'00""N","0°11'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,37059,I,V,CB,G,Y,N,N,Y,U,2,9,3,,4,,,,Y,U,Y,N,N,,,Y,N,N,Y,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,U,U,Y,U,Y,U,U,Y,U,Y,Y,U,Y,Y,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{81299B67-7A7D-4C11-9387-53C5AD0B75EA},U,U,U,U,U,U,U,U,U,U,U,U,GB BRT,"coa20e, gen20b",,,,North Sea; North Atlantic Ocean,,,,,,,
35440,Bridport Harbour,35220,ENGLAND SOUTH COAST,GB,United Kingdom,"50°43'00""N","2°46'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37015,I,V,CB,P,Y,N,N,Y,U,0,11,2,,4,,,,Y,U,Y,N,Y,,,U,N,N,U,U,U,U,Y,U,U,Y,U,U,U,U,U,Y,U,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{1426202D-AE24-40C9-AA35-A82627858AFE},U,U,U,U,U,U,U,U,U,U,U,U,GB BRP,"a2035450, coa20b, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
35070,Bristol,35030,ENGLAND SW COAST,GB,United Kingdom,"51°28'00""N","2°38'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,,I,M,RT,E,Y,N,N,Y,Y,6,6,14,14,9,,,,Y,U,N,U,Y,,,Y,U,Y,U,Y,U,U,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,Y,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,A,M,S,Y,U,UNK,U,U,Y,U,U,U,U,{500300A2-D92E-40C3-BAAF-9B49D651F9AF},U,U,U,U,U,U,U,U,U,U,U,U,GB BRS,"gen20b, h2035070",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
35400,Brixham Harbour,35220,ENGLAND SOUTH COAST,GB,United Kingdom,"50°24'00""N","3°31'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37007,I,V,CB,G,N,N,N,Y,U,3,23,2,,4,,,,U,U,Y,N,Y,,,Y,N,N,U,Y,Y,Y,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,N,U,Y,U,U,U,U,Y,U,Y,U,Y,Y,Y,Y,U,Y,U,Y,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{8F89EAEC-1C7F-47EA-A516-E19F8162C6B2},U,U,U,U,U,U,U,U,U,U,U,U,GB BRX,"a2035370, coa20b, gen20b, h2035400",,,,English Channel; North Atlantic Ocean,,,,,,,
32920,Broadford Bay,32790,SCOTLAND WEST COAST,GB,United Kingdom,"57°15'00""N","5°53'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35094,I,V,CN,P,N,N,N,Y,U,13,9,3,,13,,,,Y,U,N,N,U,,,U,U,U,U,U,Y,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,N,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,D,U,U,U,U,UNK,U,U,N,U,U,U,U,{89C84219-031E-470F-A759-2D90AA80632A},U,U,U,U,U,U,U,U,U,U,U,U,GB BDF,"a2032920, coa20i, gen20b, h2032920",,,,North Atlantic Ocean,,,,,,,
32290,Buckie Harbor,31870,SCOTLAND EAST COAST,GB,United Kingdom,"57°41'00""N","2°58'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35052,I,V,CB,G,Y,N,N,Y,U,2,8,5,,2,,,,Y,N,N,N,N,,,Y,U,U,U,U,Y,U,Y,Y,U,U,Y,U,U,U,U,Y,Y,U,Y,Y,U,U,U,U,U,Y,U,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,B,U,U,U,U,UNK,U,U,Y,U,U,U,U,{C9BBE8A8-7934-46F2-965A-D75251F77E90},U,U,U,U,U,U,U,U,U,U,U,U,GB BUC,"a2032350, coa20f, gen20b",,,,North Sea; North Atlantic Ocean,Cluny,,,,,,
32320,Burghead,31870,SCOTLAND EAST COAST,GB,United Kingdom,"57°42'00""N","3°30'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35052,I,V,CN,G,U,Y,U,Y,U,3,11,3,,3,,,,U,U,N,N,Y,,,U,N,N,U,Y,U,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,Y,U,Y,U,U,Y,Y,Y,U,Y,U,U,Y,Y,Y,Y,U,U,Y,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{C2EAE99B-D1AE-438D-B634-2F5A24626282},U,U,U,U,U,U,U,U,U,U,U,U,GB BUH,"a2032350, coa20f, gen20b",,,,North Sea; North Atlantic Ocean,,,,,,,
32030,Burntisland,31870,SCOTLAND EAST COAST,GB,United Kingdom,"56°03'00""N","3°14'00""W",Sailing Directions Pub. 192 (Enroute) - North Sea,35048,I,S,CT,G,Y,N,N,Y,Y,9,13,8,,4,,,,U,U,Y,N,Y,,,Y,Y,Y,U,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,U,U,Y,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{324C149D-84C3-40A8-8511-4C4A4883B08B},U,U,U,U,U,U,U,U,U,U,U,U,GB BTL,"a2031980, gen20b, h2031980",,,,North Sea; North Atlantic Ocean,,,,,,,
34780,Caernarvon,34710,WALES,GB,United Kingdom,"53°09'00""N","4°16'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,"36006, 36025",I,S,RB,G,Y,N,N,Y,Y,0,5,3,3,5,,,,U,U,N,Y,Y,,,N,N,U,U,U,U,U,Y,U,Y,Y,U,U,U,U,U,Y,U,U,N,Y,U,U,U,U,U,Y,U,U,U,U,U,Y,Y,U,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{1D206E38-75F4-44DA-838D-806009B4EB0D},U,U,U,U,U,U,U,U,U,U,U,U,GB CNV,"coa20j, gen20b",,,,Irish Sea; North Atlantic Ocean,Carnarvon,,,,,,
33300,Campbeltown,32790,SCOTLAND WEST COAST,GB,United Kingdom,"55°26'00""N","5°36'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,"35123, 36014",I,S,CN,G,N,N,N,Y,N,5,9,5,,3,,,,Y,U,N,N,N,,,Y,U,Y,U,Y,Y,Y,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,Y,U,U,U,U,U,U,U,Y,N,N,N,Y,U,Y,Y,Y,Y,Y,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{BFFDA7A5-8AB3-4564-9BAB-17681490BE04},U,U,U,U,U,U,U,U,U,U,U,U,GB CBT,"a2033490, coa20i, gen20b",,,,North Atlantic Ocean,,,,,,,
35010,Cardiff,34710,WALES,GB,United Kingdom,"51°27'00""N","3°10'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,36042,I,M,CT,E,Y,Y,N,Y,Y,0,9,11,8,11,,,,Y,Y,Y,Y,Y,,,Y,U,Y,U,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,Y,U,U,Y,Y,Y,Y,U,Y,Y,U,Y,Y,Y,Y,Y,A,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{617EEAB9-B73E-4395-A842-C6E4AD90634E},U,U,U,U,U,U,U,U,U,U,U,U,GB CDF,"a2035070, coa20j, gen20b, h2035010",,,,Bristol Channel; North Atlantic Ocean,,,,,,,
32980,Castle Bay,32790,SCOTLAND WEST COAST,GB,United Kingdom,"56°57'00""N","7°29'00""W",Sailing Directions Pub. 141 (Enroute) - Scotland,35093,I,V,CN,G,N,N,N,Y,U,6,8,3,,3,,,,Y,U,N,N,N,,,U,U,U,U,U,Y,Y,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,N,U,U,U,U,U,U,U,U,U,U,U,Y,Y,U,U,U,U,U,U,U,U,UNK,U,U,N,U,U,U,U,{8A8F1B18-9332-4AFD-BA13-B48A3D628D44},U,U,U,U,U,U,U,U,U,U,U,U,GB CBA,"a1932920, coa19e, gen19a",,,,North Atlantic Ocean,,,,,,,
35320,Charlestown,35220,ENGLAND SOUTH COAST,GB,United Kingdom,"50°20'00""N","4°45'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37003,I,V,CT,G,Y,N,N,Y,U,,9,5,,4,,,,Y,U,Y,U,Y,,,U,N,N,U,Y,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{6FF3F8B4-8D44-4899-8892-AD47C0FEE26A},U,U,U,U,U,U,U,U,U,U,U,U,GB CHF,"a2035370, coa20b, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
31390,Chatham Docks,31330,ENGLAND EAST COAST,GB,United Kingdom,"51°24'00""N","0°33'00""E",Sailing Directions Pub. 192 (Enroute) - North Sea,,I,S,RB,G,Y,Y,N,Y,Y,2,14,8,,4,,,,U,U,Y,N,Y,,,Y,Y,Y,U,Y,Y,U,Y,U,U,Y,U,U,U,U,U,Y,U,U,Y,Y,Y,U,U,U,Y,Y,Y,U,U,U,U,U,Y,U,U,U,U,C,L,S,Y,U,UNK,U,U,Y,U,U,U,U,{0CEE01D9-D785-4BBF-8D70-E24F59AD25CA},U,U,U,U,U,U,U,U,U,U,U,U,GB CTM,"gen20b, h2031390",,,,North Sea; North Atlantic Ocean,,,,,,,
31506,Colchester,31330,ENGLAND EAST COAST,GB,United Kingdom,"51°53'00""N","0°55'00""E",Sailing Directions Pub. 192 (Enroute) - North Sea,,I,V,RN,G,N,N,N,Y,U,2,5,,,3,,,,U,U,Y,N,Y,,,U,N,Y,U,U,U,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,Y,Y,U,U,U,Y,Y,Y,U,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{6B5416FB-0AB7-4523-B525-227B034C1619},U,U,U,U,U,U,U,U,U,U,U,U,GB COL,gen20b,,,,North Sea; North Atlantic Ocean,,,,,,,
33820,Coleraine,33630,NORTHERN IRELAND,GB,United Kingdom,"55°08'00""N","6°40'00""W",Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,"35119, 35121",I,S,RN,E,N,N,N,Y,Y,3,11,3,,2,,,,U,U,U,U,Y,,,U,U,U,U,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{7D859F39-CA42-4559-B4CF-3718E87A0654},U,U,U,U,U,U,U,U,U,U,U,U,GB CLR,"coa19e, gen19a, h1933820",,,,North Atlantic Ocean,,,,,,,
